,train_size,loss,test_spearman,test_pearson,test_mse
635,50,bradley_terry,0.775,0.338,0.972
636,50,mse,0.716,0.457,0.967
637,50,bradley_terry,0.711,0.281,1.108
638,50,mse,0.588,0.374,0.982
639,50,bradley_terry,0.634,0.356,0.901
640,50,mse,0.590,0.176,1.012
641,50,bradley_terry,0.693,0.313,0.905
642,50,mse,0.494,0.383,0.928
643,50,bradley_terry,0.809,0.376,1.205
644,50,mse,0.302,0.217,0.984
645,50,bradley_terry,0.732,0.300,0.919
646,50,mse,0.706,0.301,1.000
647,50,bradley_terry,0.736,0.294,1.003
648,50,mse,0.693,0.389,0.945
649,50,bradley_terry,0.776,0.356,1.263
650,50,mse,0.622,0.335,0.993
651,50,bradley_terry,0.761,0.308,1.006
652,50,mse,0.555,0.232,0.996
653,50,bradley_terry,0.599,0.225,0.963
654,50,mse,0.583,0.537,0.737
655,50,bradley_terry,0.656,0.277,0.957
656,50,mse,0.428,0.229,0.993
657,50,bradley_terry,0.703,0.270,0.985
658,50,mse,0.636,0.387,0.948
659,50,bradley_terry,0.792,0.367,1.020
660,50,mse,0.748,0.426,0.953
