,nonlinearity,alpha,loss,entropy,test_spearman,test_pearson,test_mse
220,exponential,0.192354391459856,mse,2.169474400841177,1.000,1.000,0.000
221,exponential,0.192354391459856,bradley_terry,2.169474400841177,0.997,0.998,216.890
222,exponential,0.192354391459856,mse,2.5814918315239663,0.998,0.998,0.005
223,exponential,0.192354391459856,bradley_terry,2.5814918315239663,0.997,0.995,122.032
224,exponential,0.192354391459856,mse,2.207153019403178,1.000,1.000,0.001
225,exponential,0.192354391459856,bradley_terry,2.207153019403178,0.998,0.998,445.982
226,exponential,0.192354391459856,mse,2.0812887059826317,0.999,0.999,0.002
227,exponential,0.192354391459856,bradley_terry,2.0812887059826317,1.000,0.999,654.649
228,exponential,0.192354391459856,mse,1.6871705631325264,0.999,1.000,0.001
229,exponential,0.192354391459856,bradley_terry,1.6871705631325264,0.996,0.993,304.870
230,exponential,0.192354391459856,mse,2.0931896827801673,0.999,0.999,0.002
231,exponential,0.192354391459856,bradley_terry,2.0931896827801673,0.999,0.998,2766.780
232,exponential,0.192354391459856,mse,1.8471096163911378,1.000,1.000,0.000
233,exponential,0.192354391459856,bradley_terry,1.8471096163911378,1.000,0.999,3414.715
234,exponential,0.192354391459856,mse,2.041822485719004,1.000,1.000,0.000
235,exponential,0.192354391459856,bradley_terry,2.041822485719004,0.999,0.999,1121.381
236,exponential,0.192354391459856,mse,1.9213205322836269,1.000,1.000,0.001
237,exponential,0.192354391459856,bradley_terry,1.9213205322836269,1.000,0.999,1025.381
238,exponential,0.192354391459856,mse,2.2489534709636576,0.999,0.999,0.001
239,exponential,0.192354391459856,bradley_terry,2.2489534709636576,1.000,0.999,577.920
240,exponential,0.192354391459856,mse,2.0796572781658096,0.751,0.759,0.429
241,exponential,0.192354391459856,bradley_terry,2.0796572781658096,0.999,0.999,219.847
242,exponential,0.192354391459856,mse,2.468841451068569,1.000,1.000,0.001
243,exponential,0.192354391459856,bradley_terry,2.468841451068569,1.000,0.999,1342.949
244,exponential,0.192354391459856,mse,2.375448580142995,1.000,1.000,0.000
245,exponential,0.192354391459856,bradley_terry,2.375448580142995,1.000,0.999,2321.713
246,exponential,0.192354391459856,mse,2.291878446329618,0.999,1.000,0.001
247,exponential,0.192354391459856,bradley_terry,2.291878446329618,0.999,0.998,793.278
248,exponential,0.192354391459856,mse,1.8398067237388744,0.999,1.000,0.001
249,exponential,0.192354391459856,bradley_terry,1.8398067237388744,1.000,0.999,952.440
250,exponential,0.192354391459856,mse,2.1683186937638723,0.999,0.999,0.002
251,exponential,0.192354391459856,bradley_terry,2.1683186937638723,0.999,0.999,439.251
252,exponential,0.192354391459856,mse,2.3871804968644947,0.997,0.998,0.006
253,exponential,0.192354391459856,bradley_terry,2.3871804968644947,0.999,0.998,781.967
254,exponential,0.192354391459856,mse,2.520023240633965,1.000,1.000,0.000
255,exponential,0.192354391459856,bradley_terry,2.520023240633965,0.999,0.997,914.798
256,exponential,0.192354391459856,mse,2.188518657632633,1.000,1.000,0.001
257,exponential,0.192354391459856,bradley_terry,2.188518657632633,1.000,0.999,441.182
258,exponential,0.192354391459856,mse,2.2004004469930667,0.993,0.994,0.013
259,exponential,0.192354391459856,bradley_terry,2.2004004469930667,1.000,0.999,522.118
260,exponential,0.192354391459856,mse,2.1129175759834222,1.000,1.000,0.000
261,exponential,0.192354391459856,bradley_terry,2.1129175759834222,1.000,0.999,1276.868
262,exponential,0.192354391459856,mse,2.420022075808382,0.999,0.999,0.001
263,exponential,0.192354391459856,bradley_terry,2.420022075808382,0.998,0.997,528.789
264,exponential,0.192354391459856,mse,1.9417789439911226,1.000,0.999,0.001
265,exponential,0.192354391459856,bradley_terry,1.9417789439911226,1.000,0.999,512.863
266,exponential,0.192354391459856,mse,2.3412881181375624,0.999,0.999,0.002
267,exponential,0.192354391459856,bradley_terry,2.3412881181375624,0.999,0.998,574.739
268,exponential,0.192354391459856,mse,2.321013555939547,1.000,1.000,0.001
269,exponential,0.192354391459856,bradley_terry,2.321013555939547,0.999,0.998,407.054
270,exponential,0.192354391459856,mse,2.3099841119900155,1.000,1.000,0.001
271,exponential,0.192354391459856,bradley_terry,2.3099841119900155,0.999,0.999,1432.967
272,exponential,0.192354391459856,mse,1.9600954277648983,1.000,1.000,0.001
273,exponential,0.192354391459856,bradley_terry,1.9600954277648983,1.000,0.999,402.720
274,exponential,0.192354391459856,mse,2.2139046508833333,1.000,1.000,0.001
275,exponential,0.192354391459856,bradley_terry,2.2139046508833333,0.999,0.998,1066.399
276,exponential,0.192354391459856,mse,2.3300430293879697,0.999,0.999,0.001
277,exponential,0.192354391459856,bradley_terry,2.3300430293879697,1.000,0.999,1135.662
278,exponential,0.192354391459856,mse,2.186098216141681,0.999,0.999,0.002
279,exponential,0.192354391459856,bradley_terry,2.186098216141681,0.999,0.998,420.336
280,exponential,0.192354391459856,mse,1.886346863100975,0.999,0.999,0.003
281,exponential,0.192354391459856,bradley_terry,1.886346863100975,0.998,0.996,283.381
282,exponential,0.192354391459856,mse,2.613681912008713,0.999,0.999,0.002
283,exponential,0.192354391459856,bradley_terry,2.613681912008713,0.999,0.999,539.895
284,exponential,0.192354391459856,mse,2.2596334953477704,0.993,0.993,0.014
285,exponential,0.192354391459856,bradley_terry,2.2596334953477704,0.996,0.995,597.209
286,exponential,0.192354391459856,mse,2.367022621871261,0.999,0.999,0.001
287,exponential,0.192354391459856,bradley_terry,2.367022621871261,0.997,0.996,319.768
288,exponential,0.192354391459856,mse,1.9000361872702758,1.000,1.000,0.001
289,exponential,0.192354391459856,bradley_terry,1.9000361872702758,0.999,0.999,671.576
290,exponential,0.192354391459856,mse,2.0613471208922802,1.000,1.000,0.000
291,exponential,0.192354391459856,bradley_terry,2.0613471208922802,1.000,0.998,1404.683
292,exponential,0.192354391459856,mse,2.218618266672336,1.000,1.000,0.001
293,exponential,0.192354391459856,bradley_terry,2.218618266672336,0.999,0.999,936.960
294,exponential,0.192354391459856,mse,2.096600637823819,1.000,1.000,0.001
295,exponential,0.192354391459856,bradley_terry,2.096600637823819,0.999,0.999,913.406
296,exponential,0.192354391459856,mse,2.112141034624231,1.000,1.000,0.000
297,exponential,0.192354391459856,bradley_terry,2.112141034624231,0.999,0.998,453.306
298,exponential,0.192354391459856,mse,2.212539202030757,0.999,1.000,0.001
299,exponential,0.192354391459856,bradley_terry,2.212539202030757,0.999,0.998,1091.319
300,exponential,0.26677993265203287,mse,2.514907762724351,0.996,0.997,0.007
301,exponential,0.26677993265203287,bradley_terry,2.514907762724351,0.986,0.984,55.952
302,exponential,0.26677993265203287,mse,2.5600067551826973,1.000,0.999,0.002
303,exponential,0.26677993265203287,bradley_terry,2.5600067551826973,0.997,0.995,657.067
304,exponential,0.26677993265203287,mse,1.924709618782833,1.000,1.000,0.000
305,exponential,0.26677993265203287,bradley_terry,1.924709618782833,1.000,0.998,1049.008
306,exponential,0.26677993265203287,mse,2.3318392794470086,1.000,1.000,0.000
307,exponential,0.26677993265203287,bradley_terry,2.3318392794470086,0.995,0.991,353.904
308,exponential,0.26677993265203287,mse,1.6748711708943116,1.000,1.000,0.001
309,exponential,0.26677993265203287,bradley_terry,1.6748711708943116,0.999,0.999,784.941
310,exponential,0.26677993265203287,mse,2.276350847412667,1.000,1.000,0.000
311,exponential,0.26677993265203287,bradley_terry,2.276350847412667,1.000,0.999,708.991
312,exponential,0.26677993265203287,mse,2.3344442572412936,0.999,0.999,0.002
313,exponential,0.26677993265203287,bradley_terry,2.3344442572412936,0.999,0.999,397.782
314,exponential,0.26677993265203287,mse,2.3669792608712847,1.000,1.000,0.000
315,exponential,0.26677993265203287,bradley_terry,2.3669792608712847,1.000,0.998,807.783
316,exponential,0.26677993265203287,mse,2.282500662813671,1.000,1.000,0.000
317,exponential,0.26677993265203287,bradley_terry,2.282500662813671,0.944,0.942,8.747
318,exponential,0.26677993265203287,mse,2.2827260140562173,1.000,0.999,0.001
319,exponential,0.26677993265203287,bradley_terry,2.2827260140562173,1.000,0.999,681.304
320,exponential,0.26677993265203287,mse,2.508220050227907,0.998,0.998,0.004
321,exponential,0.26677993265203287,bradley_terry,2.508220050227907,0.996,0.996,585.580
322,exponential,0.26677993265203287,mse,2.3741420309147565,0.999,0.999,0.002
323,exponential,0.26677993265203287,bradley_terry,2.3741420309147565,0.999,0.998,260.098
324,exponential,0.26677993265203287,mse,1.914173114869986,0.998,0.998,0.005
325,exponential,0.26677993265203287,bradley_terry,1.914173114869986,0.997,0.997,174.810
326,exponential,0.26677993265203287,mse,2.1440129490142423,1.000,1.000,0.001
327,exponential,0.26677993265203287,bradley_terry,2.1440129490142423,0.999,0.998,493.383
328,exponential,0.26677993265203287,mse,1.9571032532732542,1.000,1.000,0.000
329,exponential,0.26677993265203287,bradley_terry,1.9571032532732542,0.857,0.850,18.871
330,exponential,0.26677993265203287,mse,2.0352511930520683,0.999,0.999,0.003
331,exponential,0.26677993265203287,bradley_terry,2.0352511930520683,1.000,0.999,991.573
332,exponential,0.26677993265203287,mse,2.3552888092996027,0.999,0.999,0.001
333,exponential,0.26677993265203287,bradley_terry,2.3552888092996027,0.999,0.997,686.576
334,exponential,0.26677993265203287,mse,2.3181805066591643,1.000,1.000,0.001
335,exponential,0.26677993265203287,bradley_terry,2.3181805066591643,0.998,0.996,390.027
336,exponential,0.26677993265203287,mse,1.797052600238836,0.999,0.999,0.002
337,exponential,0.26677993265203287,bradley_terry,1.797052600238836,0.998,0.996,523.922
338,exponential,0.26677993265203287,mse,2.332423658339602,0.999,0.999,0.001
339,exponential,0.26677993265203287,bradley_terry,2.332423658339602,0.998,0.997,614.468
340,exponential,0.26677993265203287,mse,2.072396755262979,0.999,0.999,0.001
341,exponential,0.26677993265203287,bradley_terry,2.072396755262979,0.999,0.998,313.204
342,exponential,0.26677993265203287,mse,2.187983981269198,0.999,0.999,0.001
343,exponential,0.26677993265203287,bradley_terry,2.187983981269198,1.000,0.999,1178.767
344,exponential,0.26677993265203287,mse,2.0224702133095813,0.998,0.999,0.003
345,exponential,0.26677993265203287,bradley_terry,2.0224702133095813,0.996,0.995,135.466
346,exponential,0.26677993265203287,mse,2.4453046468032134,1.000,1.000,0.001
